Period,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,ACT
2015,4800,6226,8759,NA,NA,653,,NA
2016,6282,7490,10638,NA,NA,638,,1203
2017,3566,8321,NA,NA,NA,879,,1422
2018,10348,9689,NA,NA,NA,866,,1436
2019,11503,10847,NA,NA,NA,792,,NA
2020,9146,10341,10296,NA,NA,812,,NA
2021,9849,9282,9385,NA,NA,834,,1670
2022,10658,8933,9310,NA,NA,985,,1843
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,9146,,,,,,,
